|product_name|product_url|product_image_url|product_price|site_name|currency|price|url
46|Men's Edmonton Oilers Ethan Bear Fanatics Branded Orange Premier Breakaway - Player Jersey|https://www.nhlshop.ca/en/edmonton-oilers/mens-edmonton-oilers-ethan-bear-fanatics-branded-orange-premier-breakaway-player-jersey/t-14159517+p-1420131650895+z-9-495743191?_ref=p-OSLP:m-GRID:i-r15c1:po-46|/en/edmonton-oilers/mens-edmonton-oilers-ethan-bear-fanatics-branded-orange-premier-breakaway-player-jersey/t-14159517+p-1420131650895+z-9-495743191?_ref=p-OSLP:m-GRID:i-r15c1:po-46|75.99|NHLShopCanada|CAD||
47|Men's Winnipeg Jets Mark Scheifele adidas Navy Authentic Player - Jersey|https://www.nhlshop.ca/en/winnipeg-jets/mens-winnipeg-jets-mark-scheifele-adidas-navy-authentic-player-jersey/t-81597521+p-464215619932+z-8-361665453?_ref=p-OSLP:m-GRID:i-r15c2:po-47|/en/winnipeg-jets/mens-winnipeg-jets-mark-scheifele-adidas-navy-authentic-player-jersey/t-81597521+p-464215619932+z-8-361665453?_ref=p-OSLP:m-GRID:i-r15c2:po-47|199.99|NHLShopCanada|CAD||
48|Men's Toronto Maple Leafs adidas Blue Authentic Heroes of Hockey - Jersey|https://www.nhlshop.ca/en/toronto-maple-leafs/mens-toronto-maple-leafs-adidas-blue-authentic-heroes-of-hockey-jersey/t-25710851+p-7051366562591+z-9-1767334590?_ref=p-OSLP:m-GRID:i-r16c0:po-48|/en/toronto-maple-leafs/mens-toronto-maple-leafs-adidas-blue-authentic-heroes-of-hockey-jersey/t-25710851+p-7051366562591+z-9-1767334590?_ref=p-OSLP:m-GRID:i-r16c0:po-48|99.99|NHLShopCanada|CAD||
49|Men's Montreal Canadiens Shea Weber adidas Red Authentic Player - Jersey|https://www.nhlshop.ca/en/montreal-canadiens/mens-montreal-canadiens-shea-weber-adidas-red-authentic-player-jersey/t-25377422+p-3508154999261+z-9-1100880992?_ref=p-OSLP:m-GRID:i-r16c1:po-49|/en/montreal-canadiens/mens-montreal-canadiens-shea-weber-adidas-red-authentic-player-jersey/t-25377422+p-3508154999261+z-9-1100880992?_ref=p-OSLP:m-GRID:i-r16c1:po-49|199.99|NHLShopCanada|CAD||
50|Men's St. Louis Blues adidas Blue 2020/21 Home - Authentic Pro Jersey|https://www.nhlshop.ca/en/st-louis-blues/mens-st-louis-blues-adidas-blue-2020/21-home-authentic-pro-jersey/t-25934201+p-2688597189507+z-9-40354106?_ref=p-OSLP:m-GRID:i-r16c2:po-50|/en/st-louis-blues/mens-st-louis-blues-adidas-blue-2020/21-home-authentic-pro-jersey/t-25934201+p-2688597189507+z-9-40354106?_ref=p-OSLP:m-GRID:i-r16c2:po-50|159.99|NHLShopCanada|CAD||
51|Men's Calgary Flames Johnny Gaudreau adidas Red Alternate Authentic Player - Jersey|https://www.nhlshop.ca/en/calgary-flames/mens-calgary-flames-johnny-gaudreau-adidas-red-alternate-authentic-player-jersey/t-14590554+p-6820938311608+z-9-1448892596?_ref=p-OSLP:m-GRID:i-r17c0:po-51|/en/calgary-flames/mens-calgary-flames-johnny-gaudreau-adidas-red-alternate-authentic-player-jersey/t-14590554+p-6820938311608+z-9-1448892596?_ref=p-OSLP:m-GRID:i-r17c0:po-51|199.99|NHLShopCanada|CAD||
52|Men's Calgary Flames Matthew Tkachuk adidas Red Alternate Authentic Player - Jersey|https://www.nhlshop.ca/en/calgary-flames/mens-calgary-flames-matthew-tkachuk-adidas-red-alternate-authentic-player-jersey/t-36480543+p-0413406603384+z-9-3225292021?_ref=p-OSLP:m-GRID:i-r17c1:po-52|/en/calgary-flames/mens-calgary-flames-matthew-tkachuk-adidas-red-alternate-authentic-player-jersey/t-36480543+p-0413406603384+z-9-3225292021?_ref=p-OSLP:m-GRID:i-r17c1:po-52|199.99|NHLShopCanada|CAD||
53|Men's Buffalo Sabres Jack Eichel adidas Royal Home - Authentic Player Jersey|https://www.nhlshop.ca/en/buffalo-sabres/mens-buffalo-sabres-jack-eichel-adidas-royal-home-authentic-player-jersey/t-14716186+p-3744226769504+z-9-1929296250?_ref=p-OSLP:m-GRID:i-r17c2:po-53|/en/buffalo-sabres/mens-buffalo-sabres-jack-eichel-adidas-royal-home-authentic-player-jersey/t-14716186+p-3744226769504+z-9-1929296250?_ref=p-OSLP:m-GRID:i-r17c2:po-53|99.99|NHLShopCanada|CAD||
54|Men's Winnipeg Jets adidas Blue 2018/19 Alternate - Authentic Pro Jersey|https://www.nhlshop.ca/en/winnipeg-jets/mens-winnipeg-jets-adidas-blue-2018/19-alternate-authentic-pro-jersey/t-36048632+p-7177045967957+z-9-3644705681?_ref=p-OSLP:m-GRID:i-r18c0:po-54|/en/winnipeg-jets/mens-winnipeg-jets-adidas-blue-2018/19-alternate-authentic-pro-jersey/t-36048632+p-7177045967957+z-9-3644705681?_ref=p-OSLP:m-GRID:i-r18c0:po-54|159.99|NHLShopCanada|CAD||
55|Men's Los Angeles Kings adidas Gray Alternate - Authentic Jersey|https://www.nhlshop.ca/en/los-angeles-kings/mens-los-angeles-kings-adidas-gray-alternate-authentic-jersey/t-14370664+p-1480501045588+z-9-1730729814?_ref=p-OSLP:m-GRID:i-r18c1:po-55|/en/los-angeles-kings/mens-los-angeles-kings-adidas-gray-alternate-authentic-jersey/t-14370664+p-1480501045588+z-9-1730729814?_ref=p-OSLP:m-GRID:i-r18c1:po-55|119.99|NHLShopCanada|CAD||
